population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,session,FPT1,FPT2,FPT3,Food_intake
sun_exposed,sun_exposedA,sun_exposedA8,0B,no,4.27,1.3,25.2,0,3,2,22,91,484,0.2813
sun_exposed,sun_exposedA,sun_exposedA9,0B,no,3.44,1.17,25.6,0,3,1,10,42,87,0.4216
sun_exposed,sun_exposedA,sun_exposedA9,0B,no,3.44,1.17,25.6,0,3,2,15,61,98,0.1988
sun_exposed,sun_exposedB,sun_exposedB1,0B,no,3.35,1.09,22.8,0,2,1,26,64,102,0.2221
sun_exposed,sun_exposedB,sun_exposedB1,0B,no,3.35,1.09,22.8,0,2,2,141,201,251,0.1843
sun_exposed,sun_exposedB,sun_exposedB2,0B,no,3.87,1.04,22,0,1,1,30,40,83,0.1355
sun_exposed,sun_exposedB,sun_exposedB2,0B,no,3.87,1.04,22,0,1,2,344,410,504,0
sun_exposed,sun_exposedB,sun_exposedB3,0B,no,3.75,1.11,23.3,0,2,1,10,68,100,0.0253
sun_exposed,sun_exposedB,sun_exposedB3,0B,no,3.75,1.11,23.3,0,2,2,18,103,224,0.182
sun_exposed,sun_exposedB,sun_exposedB4,0B,no,4.52,1.31,24.2,0,3,1,33,73,167,0.2341
sun_exposed,sun_exposedB,sun_exposedB4,0B,no,4.52,1.31,24.2,0,3,2,19,56,94,0.1476
sun_exposed,sun_exposedB,sun_exposedB5,0B,no,3.04,0.97,22.7,0,1,1,92,414,453,0.1439
sun_exposed,sun_exposedB,sun_exposedB5,0B,no,3.04,0.97,22.7,0,1,2,12,45,78,0.2434
sun_exposed,sun_exposedB,sun_exposedB6,0B,no,4.11,0.9,24.8,0,1,1,16,42,82,0.3551
sun_exposed,sun_exposedB,sun_exposedB6,0B,no,4.11,0.9,24.8,0,1,2,20,50,81,0.1563
sun_exposed,sun_exposedB,sun_exposedB7,0B,no,3,0.86,22.7,0,3,1,18,46,87,0.0178999999999999
sun_exposed,sun_exposedB,sun_exposedB7,0B,no,3,0.86,22.7,0,3,2,18,49,91,0.2089
sun_exposed,sun_exposedB,sun_exposedB8,0B,no,3.7,1.15,23.3,0,3,1,72,319,1200,0.1371
sun_exposed,sun_exposedB,sun_exposedB8,0B,no,3.7,1.15,23.3,0,3,2,140,1200,1200,0.00319999999999998
sun_exposed,sun_exposedB,sun_exposedB9,0B,no,3.22,0.75,21.6,0,1,1,36,67,127,0.2023
sun_exposed,sun_exposedB,sun_exposedB9,0B,no,3.22,0.75,21.6,0,1,2,14,88,148,0.1937
sun_exposed,sun_exposedC,sun_exposedC1,0B,no,3.95,1.49,25.2,0,2,1,26,74,140,0.0910000000000001
sun_exposed,sun_exposedC,sun_exposedC1,0B,no,3.95,1.49,25.2,0,2,2,19,62,109,0.1021
sun_exposed,sun_exposedC,sun_exposedC2,0B,no,3.86,1.39,25.1,0,3,1,1200,1200,1200,0.2253
sun_exposed,sun_exposedC,sun_exposedC2,0B,no,3.86,1.39,25.1,0,3,2,1200,1200,1200,5.00000000000056e-4
sun_exposed,sun_exposedC,sun_exposedC3,0B,no,3.94,1.03,23.6,0,2,1,22,59,145,0.1908
sun_exposed,sun_exposedC,sun_exposedC3,0B,no,3.94,1.03,23.6,0,2,2,38,129,354,0.257
sun_exposed,sun_exposedC,sun_exposedC4,0B,no,2.34,0.71,21.2,0,1,1,51,178,307,0.3026
sun_exposed,sun_exposedC,sun_exposedC4,0B,no,2.34,0.71,21.2,0,1,2,23,58,114,0.2373
sun_exposed,sun_exposedC,sun_exposedC5,0B,no,3.35,1.06,21.6,1,3,1,1200,1200,1200,0.0163000000000001
sun_exposed,sun_exposedC,sun_exposedC5,0B,no,3.35,1.06,21.6,1,3,2,1200,1200,1200,0
sun_exposed,sun_exposedC,sun_exposedC7,0B,no,3.4,1.18,24.9,0,2,1,1200,1200,1200,0.0933
sun_exposed,sun_exposedC,sun_exposedC7,0B,no,3.4,1.18,24.9,0,2,2,1200,1200,1200,0.0511
sun_exposed,sun_exposedC,sun_exposedC8,0B,no,3.24,1.07,22.9,0,1,1,19,46,103,0.2163
sun_exposed,sun_exposedC,sun_exposedC8,0B,no,3.24,1.07,22.9,0,1,2,23,59,150,0.2103
sun_exposed,sun_exposedC,sun_exposedC9,0B,no,1.77,0.59,21.3,0,2,1,23,63,111,0.0753
sun_exposed,sun_exposedC,sun_exposedC9,0B,no,1.77,0.59,21.3,0,2,2,1200,1200,1200,0.0422999999999999
sun_exposed,sun_exposedD,sun_exposedD1,0B,no,3.52,0.87,22,0,3,1,369,1200,1200,0
sun_exposed,sun_exposedD,sun_exposedD1,0B,no,3.52,0.87,22,0,3,2,1200,1200,1200,0.00179999999999991
sun_exposed,sun_exposedD,sun_exposedD2,0B,no,2.74,0.86,20.4,0,1,1,26,56,119,0.1145
sun_exposed,sun_exposedD,sun_exposedD2,0B,no,2.74,0.86,20.4,0,1,2,29,68,240,0.1721
sun_exposed,sun_exposedD,sun_exposedD3,0B,no,2.71,0.76,22.3,0,1,1,27,58,117,0.2032
sun_exposed,sun_exposedD,sun_exposedD3,0B,no,2.71,0.76,22.3,0,1,2,19,58,106,1.0688
sun_exposed,sun_exposedD,sun_exposedD4,3B,no,3.56,1.24,22.7,0,2,1,27,64,116,0.3799
sun_exposed,sun_exposedD,sun_exposedD4,3B,no,3.56,1.24,22.7,0,2,2,21,60,113,0.2629
sun_exposed,sun_exposedD,sun_exposedD5,3B,no,4.96,1.75,26.1,0,3,1,12,50,80,0.2164
sun_exposed,sun_exposedD,sun_exposedD5,3B,no,4.96,1.75,26.1,0,3,2,32,65,103,0.1341
sun_exposed,sun_exposedD,sun_exposedD6,3B,no,4.37,1.11,24.9,0,2,1,17,163,391,0.3734
sun_exposed,sun_exposedD,sun_exposedD6,3B,no,4.37,1.11,24.9,0,2,2,15,43,94,0.1874
sun_exposed,sun_exposedD,sun_exposedD7,3B,yes,2.71,0.92,23.1,0,1,1,15,86,106,0.191
sun_exposed,sun_exposedD,sun_exposedD7,3B,yes,2.71,0.92,23.1,0,1,2,20,57,113,0.2453
sun_exposed,sun_exposedD,sun_exposedD8,3B,no,3.91,1.21,24,0,3,1,38,92,240,0.2542
sun_exposed,sun_exposedD,sun_exposedD8,3B,no,3.91,1.21,24,0,3,2,19,78,129,0.3518
sun_exposed,sun_exposedD,sun_exposedD9,3B,no,4.25,1.55,25.4,0,3,1,127,201,301,0.1355
sun_exposed,sun_exposedD,sun_exposedD9,3B,no,4.25,1.55,25.4,0,3,2,11,34,211,0.1144
sun_exposed,sun_exposedE,sun_exposedE1,3B,no,4.55,1.26,24.6,0,1,1,20,62,85,0.3051
sun_exposed,sun_exposedE,sun_exposedE1,3B,no,4.55,1.26,24.6,0,1,2,28,71,113,0.2813
sun_exposed,sun_exposedE,sun_exposedE2,3B,no,4.25,1.43,23.1,0,3,1,22,42,52,0.3028
sun_exposed,sun_exposedE,sun_exposedE2,3B,no,4.25,1.43,23.1,0,3,2,20,40,72,0.2223
sun_exposed,sun_exposedE,sun_exposedE3,3B,no,3.47,0.98,22.5,0,2,1,19,41,80,0.182
sun_exposed,sun_exposedE,sun_exposedE3,3B,no,3.47,0.98,22.5,0,2,2,18,43,70,0.192
sun_exposed,sun_exposedE,sun_exposedE4,3B,no,3.73,1.04,23.9,0,1,1,20,52,100,0.3048
sun_exposed,sun_exposedE,sun_exposedE4,3B,no,3.73,1.04,23.9,0,1,2,30,59,113,0.1016
sun_exposed,sun_exposedE,sun_exposedE5,3B,no,3.19,0.92,23.1,0,3,1,21,56,124,0.00280000000000002
sun_exposed,sun_exposedE,sun_exposedE5,3B,no,3.19,0.92,23.1,0,3,2,104,163,216,0.1902
sun_exposed,sun_exposedE,sun_exposedE6,3B,no,3.63,1.1,24.7,0,1,1,31,50,83,0.3024
sun_exposed,sun_exposedE,sun_exposedE6,3B,no,3.63,1.1,24.7,0,1,2,22,60,227,0.0153
sun_exposed,sun_exposedE,sun_exposedE7,3B,yes,3.44,1.14,23.9,0,3,1,24,55,88,0.2091
sun_exposed,sun_exposedE,sun_exposedE7,3B,yes,3.44,1.14,23.9,0,3,2,17,46,82,0.0861999999999999
sun_exposed,sun_exposedE,sun_exposedE8,3B,no,2.52,0.72,23.4,0,3,1,116,1200,1200,0.1567
sun_exposed,sun_exposedE,sun_exposedE8,3B,no,2.52,0.72,23.4,0,3,2,35,242,430,0.3228
sun_exposed,sun_exposedE,sun_exposedE9,3B,yes,3.48,0.84,22.5,0,3,1,13,44,69,0.1368
sun_exposed,sun_exposedE,sun_exposedE9,3B,yes,3.48,0.84,22.5,0,3,2,17,67,100,0.3602
sun_exposed,sun_exposedH,sun_exposedH1,3B,no,4.69,1.22,23,0,1,1,24,51,89,0.3545
sun_exposed,sun_exposedH,sun_exposedH1,3B,no,4.69,1.22,23,0,1,2,24,66,134,0.3224
sun_exposed,sun_exposedH,sun_exposedH2,3B,no,4.54,1.24,24.6,0,2,1,28,58,103,0.2909
sun_exposed,sun_exposedH,sun_exposedH2,3B,no,4.54,1.24,24.6,0,2,2,17,46,78,0.3113
sun_exposed,sun_exposedH,sun_exposedH3,3B,no,3.15,0.94,22.1,0,2,1,34,65,103,0.2753
sun_exposed,sun_exposedH,sun_exposedH3,3B,no,3.15,0.94,22.1,0,2,2,24,66,123,0.2421
sun_exposed,sun_exposedH,sun_exposedH4,3B,no,2.73,0.88,22.6,0,1,1,23,58,108,0.1522
sun_exposed,sun_exposedH,sun_exposedH4,3B,no,2.73,0.88,22.6,0,1,2,20,51,96,0.0213
sun_exposed,sun_exposedH,sun_exposedH5,3B,yes,3.1,1.02,24.5,0,2,1,13,42,76,0.2793
sun_exposed,sun_exposedH,sun_exposedH5,3B,yes,3.1,1.02,24.5,0,2,2,17,48,85,0.2926
sun_exposed,sun_exposedH,sun_exposedH6,3B,yes,2.96,1.11,24,0,3,1,47,134,280,0.2299
sun_exposed,sun_exposedH,sun_exposedH6,3B,yes,2.96,1.11,24,0,3,2,309,358,389,0.0961
sun_exposed,sun_exposedH,sun_exposedH7,3B,yes,4.79,1.17,25,0,2,1,44,78,125,0.1343
sun_exposed,sun_exposedH,sun_exposedH7,3B,yes,4.79,1.17,25,0,2,2,313,380,454,0.0539999999999999
sun_exposed,sun_exposedH,sun_exposedH8,3B,no,4.4,1.4,25.3,0,1,1,14,70,338,0.0462999999999999
sun_exposed,sun_exposedH,sun_exposedH8,3B,no,4.4,1.4,25.3,0,1,2,31,89,163,0.2861
sun_exposed,sun_exposedH,sun_exposedH9,3B,no,3.93,1.11,24.9,0,3,1,19,55,86,0.1033
sun_exposed,sun_exposedH,sun_exposedH9,3B,no,3.93,1.11,24.9,0,3,2,14,38,77,0.2328
sun_exposed,sun_exposedJ,sun_exposedJ1,3B,no,3.96,1.18,23.6,0,2,1,26,65,105,0.1279
sun_exposed,sun_exposedJ,sun_exposedJ1,3B,no,3.96,1.18,23.6,0,2,2,21,70,131,0.1465
sun_exposed,sun_exposedJ,sun_exposedJ2,3B,no,3.81,1.09,23.6,0,1,1,17,67,70,0.2494
sun_exposed,sun_exposedJ,sun_exposedJ2,3B,no,3.81,1.09,23.6,0,1,2,18,47,94,0.2919
sun_exposed,sun_exposedJ,sun_exposedJ3,3B,no,3.59,1.25,23.1,0,1,1,30,63,144,0
sun_exposed,sun_exposedJ,sun_exposedJ3,3B,no,3.59,1.25,23.1,0,1,2,24,82,495,0.3073
sun_exposed,sun_exposedJ,sun_exposedJ4,3B,no,3.72,1.02,23.6,0,1,1,15,42,77,0.1163
sun_exposed,sun_exposedJ,sun_exposedJ4,3B,no,3.72,1.02,23.6,0,1,2,15,64,356,0.2923
sun_exposed,sun_exposedJ,sun_exposedJ5,3B,no,5.13,1.5,24.6,0,2,1,20,45,88,0.3085
sun_exposed,sun_exposedJ,sun_exposedJ5,3B,no,5.13,1.5,24.6,0,2,2,27,59,114,0.2821
sun_exposed,sun_exposedJ,sun_exposedJ6,3B,no,4.45,1.18,24.7,0,2,1,24,77,110,0.3
sun_exposed,sun_exposedJ,sun_exposedJ6,3B,no,4.45,1.18,24.7,0,2,2,17,59,92,0.2308
sun_exposed,sun_exposedJ,sun_exposedJ7,5B,yes,4.12,1.61,24.9,0,1,1,16,48,125,0.1851
sun_exposed,sun_exposedJ,sun_exposedJ7,5B,yes,4.12,1.61,24.9,0,1,2,45,83,149,0.2093
sun_exposed,sun_exposedJ,sun_exposedJ8,5B,no,4.63,1.39,25.7,0,2,1,15,50,110,0.364
sun_exposed,sun_exposedJ,sun_exposedJ8,5B,no,4.63,1.39,25.7,0,2,2,35,96,169,0.1103
sun_exposed,sun_exposedJ,sun_exposedJ9,5B,yes,4.17,1.41,23.9,0,2,1,19,52,103,0.2482
sun_exposed,sun_exposedJ,sun_exposedJ9,5B,yes,4.17,1.41,23.9,0,2,2,53,266,368,0.0805999999999999
sun_exposed,sun_exposedK,sun_exposedK1,5B,no,3.2,0.92,22.7,0,2,1,12,32,59,0.1849
sun_exposed,sun_exposedK,sun_exposedK1,5B,no,3.2,0.92,22.7,0,2,2,21,70,117,0.0211
sun_exposed,sun_exposedK,sun_exposedK2,5B,no,3.77,0.97,25.1,0,3,1,59,81,109,0.1856
sun_exposed,sun_exposedK,sun_exposedK2,5B,no,3.77,0.97,25.1,0,3,2,11,35,66,0.0815
sun_exposed,sun_exposedK,sun_exposedK3,5B,yes,3.49,1.01,23.2,0,1,1,25,42,110,0.2756
sun_exposed,sun_exposedK,sun_exposedK3,5B,yes,3.49,1.01,23.2,0,1,2,19,72,151,0.3222
sun_exposed,sun_exposedK,sun_exposedK4,5B,no,3.83,0.94,23,0,2,1,194,321,409,0.3504
sun_exposed,sun_exposedK,sun_exposedK4,5B,no,3.83,0.94,23,0,2,2,14,43,130,0.1782
sun_exposed,sun_exposedK,sun_exposedK5,5B,yes,2.3,0.72,22.7,0,3,1,15,55,112,0.2078
sun_exposed,sun_exposedK,sun_exposedK5,5B,yes,2.3,0.72,22.7,0,3,2,104,127,155,0.2674
sun_exposed,sun_exposedK,sun_exposedK6,5B,no,3.98,1.04,25.3,0,3,1,22,62,131,0.2497
sun_exposed,sun_exposedK,sun_exposedK6,5B,no,3.98,1.04,25.3,0,3,2,14,49,92,0.2458
sun_exposed,sun_exposedK,sun_exposedK7,5B,no,5.16,1.3,25.8,0,1,1,28,72,117,0.2113
sun_exposed,sun_exposedK,sun_exposedK7,5B,no,5.16,1.3,25.8,0,1,2,172,300,361,0.2713
sun_exposed,sun_exposedK,sun_exposedK8,5B,no,2.74,0.76,21.6,0,1,1,15,55,130,0.1611
sun_exposed,sun_exposedK,sun_exposedK8,5B,no,2.74,0.76,21.6,0,1,2,19,57,99,0.0902999999999999
sun_exposed,sun_exposedK,sun_exposedK9,5B,no,3.48,1.02,24,0,3,1,1200,1200,1200,0.2078
sun_exposed,sun_exposedK,sun_exposedK9,5B,no,3.48,1.02,24,0,3,2,1200,1200,1200,0.163
sun_exposed,sun_exposedQ,sun_exposedQ1,5B,yes,4.02,0.79,24.2,0,1,1,30,52,84,0
sun_exposed,sun_exposedQ,sun_exposedQ1,5B,yes,4.02,0.79,24.2,0,1,2,34,81,138,0.2943
sun_exposed,sun_exposedQ,sun_exposedQ2,5B,no,3.19,1.09,22.8,0,1,1,22,68,70,0
sun_exposed,sun_exposedQ,sun_exposedQ2,5B,no,3.19,1.09,22.8,0,1,2,21,72,211,0
sun_exposed,sun_exposedQ,sun_exposedQ3,5B,no,2.71,0.89,22.4,0,3,1,25,47,93,0.0944999999999999
sun_exposed,sun_exposedQ,sun_exposedQ3,5B,no,2.71,0.89,22.4,0,3,2,46,86,135,0.2015
sun_exposed,sun_exposedQ,sun_exposedQ4,5B,yes,2.94,0.76,24.8,0,2,1,17,114,160,0.3052
sun_exposed,sun_exposedQ,sun_exposedQ4,5B,yes,2.94,0.76,24.8,0,2,2,43,271,414,0.0905999999999999
sun_exposed,sun_exposedQ,sun_exposedQ5,5B,yes,3.24,0.94,23.4,0,1,1,22,53,86,0.2149
sun_exposed,sun_exposedQ,sun_exposedQ5,5B,yes,3.24,0.94,23.4,0,1,2,33,95,299,0.2254
sun_exposed,sun_exposedQ,sun_exposedQ6,5B,no,3.75,1.07,23.5,0,3,1,21,51,87,0.2061
sun_exposed,sun_exposedQ,sun_exposedQ6,5B,no,3.75,1.07,23.5,0,3,2,39,123,201,0.2357
sun_exposed,sun_exposedQ,sun_exposedQ7,5B,no,4.86,1.27,24.5,0,3,1,18,88,119,0.3492
sun_exposed,sun_exposedQ,sun_exposedQ7,5B,no,4.86,1.27,24.5,0,3,2,1200,1200,1200,0.3047
sun_exposed,sun_exposedQ,sun_exposedQ8,5B,no,3.36,1.05,23.5,0,2,1,24,47,82,0.202
sun_exposed,sun_exposedQ,sun_exposedQ8,5B,no,3.36,1.05,23.5,0,2,2,19,55,99,0.1852
sun_exposed,sun_exposedQ,sun_exposedQ9,5B,no,4.51,1.2,25.3,0,3,1,27,76,108,0.4071
sun_exposed,sun_exposedQ,sun_exposedQ9,5B,no,4.51,1.2,25.3,0,3,2,85,308,375,0.3082
sun_exposed,sun_exposedX,sun_exposedX1,5B,no,3.01,0.82,22.6,0,1,1,12,50,92,0.3818
sun_exposed,sun_exposedX,sun_exposedX1,5B,no,3.01,0.82,22.6,0,1,2,25,72,163,0.2733
sun_exposed,sun_exposedX,sun_exposedX2,5B,no,4.06,1.41,24.6,0,3,1,14,106,1200,0.5148
sun_exposed,sun_exposedX,sun_exposedX2,5B,no,4.06,1.41,24.6,0,3,2,28,61,116,0.5168
sun_exposed,sun_exposedX,sun_exposedX3,5B,no,4.24,1.1,23.9,0,2,1,136,274,399,0.241
sun_exposed,sun_exposedX,sun_exposedX3,5B,no,4.24,1.1,23.9,0,2,2,30,99,278,0.1598
sun_exposed,sun_exposedX,sun_exposedX4,5B,no,3.07,0.98,23.2,0,2,1,26,144,219,0.0236
sun_exposed,sun_exposedX,sun_exposedX4,5B,no,3.07,0.98,23.2,0,2,2,23,91,166,0.1925
sun_exposed,sun_exposedX,sun_exposedX5,5B,no,3.39,0.79,23.3,0,2,1,23,77,98,0.2293
sun_exposed,sun_exposedX,sun_exposedX5,5B,no,3.39,0.79,23.3,0,2,2,17,51,89,0.2781
sun_exposed,sun_exposedX,sun_exposedX6,5B,yes,2.64,0.86,23.2,0,1,1,20,47,83,0.3237
sun_exposed,sun_exposedX,sun_exposedX6,5B,yes,2.64,0.86,23.2,0,1,2,206,246,287,0.3877
sun_exposed,sun_exposedX,sun_exposedX7,5B,yes,5.55,1.79,27.9,0,1,1,26,64,129,0.3261
sun_exposed,sun_exposedX,sun_exposedX7,5B,yes,5.55,1.79,27.9,0,1,2,35,117,220,0.0702999999999999
sun_exposed,sun_exposedX,sun_exposedX8,5B,yes,2.19,0.59,22.5,0,3,1,1200,1200,1200,0.2069
sun_exposed,sun_exposedX,sun_exposedX8,5B,yes,2.19,0.59,22.5,0,3,2,10,39,78,0.268
sun_exposed,sun_exposedX,sun_exposedX9,5B,yes,1.92,0.42,21.2,0,2,1,16,57,115,0.1375
sun_exposed,sun_exposedX,sun_exposedX9,5B,yes,1.92,0.42,21.2,0,2,2,14,60,129,0.2894
sun_exposed,sun_exposedZ,sun_exposedZ1,0B,no,5.58,1.4,25,0,3,1,21,43,71,0.072
sun_exposed,sun_exposedZ,sun_exposedZ1,0B,no,5.58,1.4,25,0,3,2,19,46,82,0.3056
